이름,Note,고유능력,랭크,문양,수록 팩 ID,영문명,카드 ID,희귀도
원소 대적자의 ♡6,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",6,하트,,,146,Normal
물 원소의 불 스승,,"스승: 물 - 주인공: 물 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",7,하트,,,147,Rare
원소 대적자의 ♡8,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",8,하트,,,148,Normal
흙 원소의 불 스승,,"스승: 흙 - 주인공: 흙 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",9,하트,,,149,Rare
원소 대적자의 ♡10,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",10,하트,,,150,Normal
불 원소의 마스터1,,"마스터: 불 - 주인공: 불 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 스택을 초기화시키면서 다음 3턴 동안 필드에 나타나는 족보의 배율을 1.1/1.25/1.5/1.8배 곱적용한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 불"" 효과를 비활성화한다.",J,하트,,,151,Rare
불 원소의 마스터2,,"마스터: 불 - 주인공: 불 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 스택을 초기화시키면서 다음 3턴 동안 필드에 나타나는 족보의 배율을 1.1/1.25/1.5/1.8배 곱적용한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 불"" 효과를 비활성화한다.",Q,하트,,,152,Rare
불 원소의 마스터3,,"마스터: 불 - 주인공: 불 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 스택을 초기화시키면서 다음 3턴 동안 필드에 나타나는 족보의 배율을 1.1/1.25/1.5/1.8배 곱적용한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 불"" 효과를 비활성화한다.",K,하트,,,153,Rare
불 원소의 ???,,???: 불 - 주인공: 불 효과가 활성화되어 있으면 가지고 있는 불 원소 스택을 5로 설정한다.,Joker,하트,,,154,Epic
공기 원소의 주인공,,"주인공: 공기 - ""내가 먼저야"" 효과가 비활성화 된 상태에서 해당 카드가 필드에 먼저 나타나면 활성화된다.
""내가 먼저야"" 효과를 활성화한다.",Ace,다이아몬드,,,155,Legendary
원소 대적자의 ◇2,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",2,다이아몬드,,,156,Normal
공기 원소의 공기 스승,,"스승: 공기 - 주인공: 공기 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",3,다이아몬드,,,157,Rare
원소 대적자의 ◇4,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",4,다이아몬드,,,158,Normal
물 원소의 공기 스승,,"스승: 물 - 주인공: 물 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",5,다이아몬드,,,159,Rare
원소 대적자의 ◇6,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",6,다이아몬드,,,160,Normal
흙 원소의 공기 스승,,"스승: 흙 - 주인공: 흙 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",7,다이아몬드,,,161,Rare
원소 대적자의 ◇8,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",8,다이아몬드,,,162,Normal
불 원소의 공기 스승,,"스승: 불 - 주인공: 불 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",9,다이아몬드,,,163,Rare
원소 대적자의 ◇10,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",10,다이아몬드,,,164,Normal
공기 원소의 마스터1,,"마스터: 공기 - 주인공: 공기 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 스택을 초기화시키면서 다음 3턴 동안 노트 당 추가점수를 20/50/90/150점 획득한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 공기"" 효과를 비활성화한다.",J,다이아몬드,,,165,Rare
공기 원소의 마스터2,,"마스터: 공기 - 주인공: 공기 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 스택을 초기화시키면서 다음 3턴 동안 노트 당 추가점수를 20/50/90/150점 획득한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 공기"" 효과를 비활성화한다.",Q,다이아몬드,,,166,Rare
공기 원소의 마스터3,,"마스터: 공기 - 주인공: 공기 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 스택을 초기화시키면서 다음 3턴 동안 노트 당 추가점수를 20/50/90/150점 획득한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 공기"" 효과를 비활성화한다.",K,다이아몬드,,,167,Rare
공기 원소의 ???,,???: 공기 - 주인공: 공기 효과가 활성화되어 있으면 가지고 있는 공기 원소 스택을 5로 설정한다.,Joker,다이아몬드,,,168,Epic
흙 원소의 주인공,,"주인공: 흙 - ""내가 먼저야"" 효과가 비활성화 된 상태에서 해당 카드가 필드에 먼저 나타나면 활성화된다.
""내가 먼저야"" 효과를 활성화한다.",Ace,클럽,,,169,Legendary
원소 대적자의 ♧2,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",2,클럽,,,170,Normal
흙 원소의 흙 스승,,"스승: 흙 - 주인공: 흙 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",3,클럽,,,171,Rare
원소 대적자의 ♧4,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",4,클럽,,,172,Normal
불 원소의 흙 스승,,"스승: 불 - 주인공: 불 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",5,클럽,,,173,Rare
원소 대적자의 ♧6,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",6,클럽,,,174,Normal
공기 원소의 흙 스승,,"스승: 공기 - 주인공: 공기 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",7,클럽,,,175,Rare
원소 대적자의 ♧8,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",8,클럽,,,176,Normal
물 원소의 흙 스승,,"스승: 물 - 주인공: 물 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",9,클럽,,,177,Rare
원소 대적자의 ♧10,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",10,클럽,,,178,Normal
흙 원소의 마스터1,,"마스터: 흙 - 주인공: 흙 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 스택을 초기화시키면서 다음 3턴 동안 노트 판정을 1단계 업그레이드/2단계 업그레이드/3단계 업그레이드/miss 1회 무효 진행한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 흙"" 효과를 비활성화한다.",J,클럽,,,179,Rare
흙 원소의 마스터2,,"마스터: 흙 - 주인공: 흙 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 스택을 초기화시키면서 다음 3턴 동안 노트 판정을 1단계 업그레이드/2단계 업그레이드/3단계 업그레이드/miss 1회 무효 진행한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 흙"" 효과를 비활성화한다.",Q,클럽,,,180,Rare
흙 원소의 마스터3,,"마스터: 흙 - 주인공: 흙 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 스택을 초기화시키면서 다음 3턴 동안 노트 판정을 1단계 업그레이드/2단계 업그레이드/3단계 업그레이드/miss 1회 무효 진행한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 흙"" 효과를 비활성화한다.",K,클럽,,,181,Rare
흙 원소의 ???,,???: 흙 - 주인공: 흙 효과가 활성화되어 있으면 가지고 있는 흙 원소 스택을 5로 설정한다.,Joker,클럽,,,182,Epic
